Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Agrin Interactions at Neuromuscular Junction	1.67E00	3.16E-01	1.147	ACTB,ACTG1,AGRN,ITGA2,ITGA4,ITGA5,JUN,LAMB1,LAMC1,MAP2K4,MRAS,NRG4,PAK1,PAK3,PAK4,PAK6,PKLR,RAC1,RAC2,RALB,RAP2A,RAP2B,RASD1,RASD2,UTRN	
Proline Biosynthesis II (from Arginine)	1.67E00	6.67E-01	0.000	OAT,OTC,PYCR1,PYCR2	
Urea Cycle	1.67E00	6.67E-01	-1.000	ARG2,ASS1,CPS1,OTC	
Arginine Degradation VI (Arginase 2 Pathway)	1.67E00	6.67E-01	0.000	ARG2,OAT,PYCR1,PYCR2	
Putrescine Degradation III	1.66E00	4.29E-01	-0.333	ALDH1A1,ALDH3A2,Aldh3b2,ALDH4A1,IL4I1,MAOA,MAOB,SAT1,SMOX	
Endoplasmic Reticulum Stress Pathway	1.66E00	4.29E-01	3.000	ATF4,CALR,CASP3,CASP7,DDIT3,HSPA5,TAOK3,TRAF2,XBP1	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.65E00	3.28E-01	0.000	AKT1,AKT2,AKT3,CCL5,GNAI1,GNAI2,Ifna4,MAP2K1,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLAC8,RELA	
Nitric Oxide Signaling in the Cardiovascular System	1.63E00	3.03E-01	-0.928	AKT1,AKT2,AKT3,ARG2,ATP2A2,CACNA1A,CACNA1D,CAMK4,CHRM1,FLT4,GUCY2C,HSP90AB1,MAP2K1,NOS3,PDE2A,PDE3B,PDE5A,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PRKACB,PRKAR1B,PRKD3,PRKG2	
Melatonin Signaling	1.62E00	3.19E-01	-1.279	CAMK2B,CAMK4,GNAI1,GNAI2,GNRH1,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MTNR1A,NOTUM,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PRKACB,PRKAR1B,PRKD3,RAF1,RORA	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	1.62E00	4.44E-01	0.707	INPP5D,INPP5J,INPP5K,ITPKA,ITPKB,ITPKC,MINPP1,PTEN	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	1.62E00	4.44E-01	0.378	ACAA2,ACAT1,ACAT2,COX10,FNTB,HMGCS2,IDI1,PMVK	
Role of CHK Proteins in Cell Cycle Checkpoint Control	1.61E00	3.33E-01	0.243	ATM,CDK1,CDKN1A,E2F2,E2F4,PLK1,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,RAD1,RFC3,RFC5,TLK1	
Heme Biosynthesis II	1.59E00	5.56E-01	-0.447	ALAS1,ALAS2,HMBS,PPOX,UROS	
Synaptic Long Term Depression	1.58E00	2.75E-01	-2.429	ABHD3,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,GNA14,GNA15,GNAI1,GNAI2,GRM2,GUCY2C,MAP2K1,MRAS,NOS2,NOS3,NOTUM,PLA2G12A,PLA2G1B,Pla2g2a,PLA2G2C,PLA2G4C,PLA2G5,PLA2R1,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PNPLA3,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKD3,PRKG2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SLC39A7	
IL-17A Signaling in Gastric Cells	1.57E00	4E-01	2.646	CCL5,CXCL10,FOS,IL17RC,JUN,MAP2K4,MAPK11,MAPK13,RELA,TNF	
Antiproliferative Role of Somatostatin Receptor 2	1.55E00	3.12E-01	-0.471	CDKN1A,CDKN1B,GNB1,GNB1L,GNB2,GNG5,GUCY2C,MAP2K1,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTPN11,RALB,RAP2A,RAP2B,RASD1,RASD2,SLC39A7,SSTR2	
Corticotropin Releasing Hormone Signaling	1.53E00	2.83E-01	0.649	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ATF2,ATF4,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,CAMK4,CNR1,CREB3,CREB3L3,CREB3L4,FOS,GNAI1,GNAI2,GUCY2C,JUN,JUND,MAP2K1,MAPK11,MAPK13,MEF2A,NOS2,NOS3,NR4A1,PLCG2,PRKACB,PRKAR1B,PRKD3,RAF1,SHH,SLC39A7,UCN3	
MSP-RON Signaling Pathway	1.53E00	3.28E-01	NaN	ACTB,ACTG1,CCR2,CSF1,IL3RA,ITGAM,KLK3,KLKB1,MST1R,NOS2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,TLR2,TNF	
BMP signaling pathway	1.53E00	3.06E-01	-0.426	ATF2,BMP1,BMPR2,CAMK4,CHRD,JUN,MAGED1,MAP2K1,MAP2K4,MAPK11,MAPK13,MRAS,NFKB2,PRKACB,PRKAR1B,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SMAD5,SMAD6,SMURF1,XIAP	
Iron homeostasis signaling pathway	1.53E00	2.85E-01	NaN	ABCB10,ACO2,ALAS2,ATP6V0A2,ATP6V0C,ATP6V1B2,ATP6V1G2,BMP1,BMPR2,CREB3L3,CYBRD1,EGF,GDF15,HEPH,HFE,HIF3A,HMOX1,HMOX2,HSPA9,IREB2,ISCU,JAK3,LRP1,LYRM4,NUBP1,NUBP2,PDGFA,PDGFRB,SLC11A2,SLC39A14,SLC40A1,SLC46A1,SMAD5,STAT3,STAT5B,STEAP3,TCIRG1,TFRC,TMPRSS6	
Crosstalk between Dendritic Cells and Natural Killer Cells	1.53E00	3.03E-01	2.837	ACTB,ACTG1,CAMK2B,CCR7,CD40,CD83,CSF2,FAS,HLA-A,HLA-DRB5,HLA-E,HLA-G,IL15,IL18,IL2RB,IL2RG,IL3RA,LTA,LTB,LTBR,NFKB2,RELA,TLN2,TLR9,TNF,TNFRSF1B,TNFSF10	
Phagosome Formation	1.52E00	2.88E-01	NaN	FCAMR,ITGA2,ITGA4,ITGA5,ITGAM,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PRKD3,RAC1,RAC2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,TLR1,TLR2,TLR5,TLR9	
Role of p14/p19ARF in Tumor Suppression	1.51E00	3.79E-01	0.632	NPM3,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,POLR3D,RAC1,SENP3	
Retinoate Biosynthesis II	1.49E00	7.5E-01	NaN	RBP1,RBP2,RBP7	
Heme Degradation	1.49E00	7.5E-01	NaN	BLVRA,HMOX1,HMOX2	
Spermine and Spermidine Degradation I	1.49E00	7.5E-01	NaN	PAOX,SAT1,SMOX	
α-tocopherol Degradation	1.49E00	7.5E-01	NaN	CYP4A11,CYP4F12,CYP4F3	
Arginine Degradation I (Arginase Pathway)	1.49E00	7.5E-01	NaN	ALDH4A1,ARG2,OAT	
Acetate Conversion to Acetyl-CoA	1.49E00	7.5E-01	NaN	ACSL1,ACSS1,ACSS3	
Apelin Muscle Signaling Pathway	1.47E00	4.21E-01	1.414	AKT1,AKT2,AKT3,APLN,MRAS,NOS3,NRF1,PRKAA2	
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.46E00	3.41E-01	2.887	CASP8,DDX58,DHX58,IFIH1,Ifna4,IKBKE,IKBKG,IRF7,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELA,TRAF2,TRIM25	
Apelin Liver Signaling Pathway	1.45E00	3.85E-01	0.000	AGT,APLN,COL18A1,EDN1,EDN2,EDN3,FAS,MAP2K4,PDGFRB,TNF	
ErbB4 Signaling	1.44E00	3.13E-01	-0.943	AKT1,MAP2K1,MRAS,NRG4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,PSEN1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2	
Extrinsic Prothrombin Activation Pathway	1.43E00	4.38E-01	0.447	F10,F3,F5,FGA,PROS1,SERPINC1,TFPI	
Glutaryl-CoA Degradation	1.43E00	4.38E-01	-0.816	ACAA2,ACAT1,ACAT2,CDYL,EHHADH,HADH,HSD17B4	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	1.42E00	2.55E-01	2.495	AKT1,AKT2,AKT3,ATF2,ATF4,B2M,CAMK4,CASP14,CASP3,CASP4,CASP7,CASP8,CREB3,CREB3L3,CREB3L4,CREM,EZR,FAS,FOS,GNAI1,GNAI2,GNB1L,H2-K2/H2-Q9,H2-Q8,H2-T10,H2-T22,H2-T24,H2-T3,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,HLA-G,ICOSLG/LOC102723996,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MRAS,MSN,MTOR,NOS2,NOS3,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PPP3CA,RAC1,RAC2,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,ROCK2,SOS2,STAT3,VAV1,YES1	
Dopamine Degradation	1.4E00	3.67E-01	-0.905	ALDH1A1,ALDH3A2,Aldh3b2,ALDH4A1,COMT,IL4I1,MAOA,MAOB,SMOX,SULT1B1,Sult1d1	
Oleate Biosynthesis II (Animals)	1.39E00	4.62E-01	-2.449	ALDH6A1,FADS6,PTPRT,SCD,Scd2,Scd4	
UDP-N-acetyl-D-galactosamine Biosynthesis II	1.39E00	4.62E-01	0.447	GALE,GCK,GNPDA2,HK1,HK2,HKDC1	
Superpathway of Serine and Glycine Biosynthesis I	1.38E00	5.71E-01	2.000	PHGDH,PSAT1,PSPH,SHMT2	
Phosphatidylcholine Biosynthesis I	1.38E00	5.71E-01	-2.000	CHKA,CHPT1,PCYT1B,PHKA1	
Prostanoid Biosynthesis	1.37E00	5E-01	-1.342	HPGDS,PTGDS,PTGES2,PTGS1,TBXAS1	
Ephrin B Signaling	1.37E00	3.06E-01	-1.213	CAP1,CFL1,EFNB2,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,ITSN2,LIMK1,MRAS,PAK1,RAC1,RAC2,RGS3,RHOA,ROCK2,VAV1,VAV3	
Systemic Lupus Erythematosus Signaling	1.34E00	2.62E-01	NaN	AKT1,AKT2,AKT3,CAMK4,CD40,CD79B,CREM,EFTUD2,FOS,HLA-A,HLA-E,HLA-G,Ifna4,IL18,INPP5D,JUN,LCK,LSM1,LSM2,LSM4,MRAS,MTOR,NFAT5,NFATC1,NFATC3,NFATC4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PPIH,PRPF3,PRPF31,PRPF39,PRPF4,PRPF4B,PRPF6,PTPRC,RALB,RAP2A,RAP2B,RASD1,RASD2,SNRNP200,SNRNP27,SNRNP35,SNRNP40,SNRNP70,SNRPA1,SNRPB,SNRPD2,SOS2,TLR9,TNF,TXNL4A,ZCRB1	
β-alanine Degradation I	1.34E00	1E00	NaN	ABAT,ALDH6A1	
Sulfate Activation for Sulfonation	1.34E00	1E00	NaN	PAPSS1,PAPSS2	
Adenine and Adenosine Salvage I	1.34E00	1E00	NaN	APRT,PNP	
Cardiolipin Biosynthesis II	1.34E00	1E00	NaN	PGS1,PTPMT1	
Glutamine Degradation I	1.34E00	1E00	NaN	GLS,GLS2	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	1.33E00	3.42E-01	-3.606	CSGALNACT1,DIO1,SULT1B1,Sult1d1,UGT1A1,UGT1A3,UGT1A6,UGT1A8 (includes others),UGT2A3,UGT2B10,UGT2B17,UGT2B28,UGT2B7	
G Protein Signaling Mediated by Tubby	1.3E00	3.55E-01	NaN	GNB1,GNB1L,GNB2,GNG5,INSR,LCK,MRAS,PLCB1,PLCB2,PLCB4,PLCG2	
γ-linolenate Biosynthesis II (Animals)	1.28E00	4.12E-01	-2.646	ACSL1,ACSL3,SLC27A1,SLC27A2,SLC27A3,SLC27A5,SLC27A6	
D-myo-inositol (1,4,5)-trisphosphate Degradation	1.28E00	4.12E-01	-0.378	BPNT1,IMPA2,IMPAD1,INPP1,INPP5D,INPP5J,INPP5K	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.28E00	3.75E-01	0.447	IFNAR2,IFNGR2,NFKB2,RAF1,RELA,SOCS1,STAT1,STAT2,STAT3	
Eicosanoid Signaling	1.25E00	3.03E-01	-1.265	ABHD3,ALOX12,ALOX12B,ALOX15,ALOX5,DPEP1,HPGDS,LTC4S,PLA2G12A,PLA2G1B,Pla2g2a,PLA2G2C,PLA2G4C,PLA2G5,PLA2R1,PNPLA3,PTGDS,PTGES2,PTGS1,TBXAS1	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	1.25E00	2.89E-01	NaN	CD40,CD79B,CSF1,CSF2,FAS,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,IL15,IL18,LTA,LTB,NFKB2,RELA,RELB,TGFB1,TLR1,TLR2,TLR5,TLR9,TNF,TNFRSF13B,TNFSF13	
Mevalonate Pathway I	1.23E00	4.29E-01	-0.447	ACAA2,ACAT1,ACAT2,HMGCS2,IDI1,PMVK	
Androgen Signaling	1.21E00	2.72E-01	-2.524	CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,CALR,CAMK4,CCND1,DNAJB1,ERCC3,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,GTF2A1,GTF2F1,GTF2H4,JUN,MRAS,NCOA2,NCOA4,NFKB2,POLR2B,POLR2C,POLR2G,POLR2I,PRKACB,PRKAR1B,PRKD3,RELA,TAF2	
Ketogenesis	1.19E00	4.55E-01	-1.000	ACAA2,ACAT1,ACAT2,BDH2,HMGCS2	
Growth Hormone Signaling	1.19E00	2.96E-01	-0.655	FOS,GHR,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,SOCS1,SOCS3,SRF,STAT1,STAT3,STAT5B	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.17E00	3.6E-01	NaN	MAP2K4,MAPK11,MAPK13,PTPN11,SOCS1,SOCS3,STAT1,STAT3,STAT5B	
Tryptophan Degradation X (Mammalian, via Tryptamine)	1.17E00	3.6E-01	-1.000	ALDH1A1,ALDH3A2,Aldh3b2,ALDH4A1,DDC,IL4I1,MAOA,MAOB,SMOX	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	1.17E00	2.77E-01	-3.053	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,GNA14,GNA15,GNAI1,GNAI2,GNG5,NOTUM,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PRKACB,PRKAR1B,PRKD3,RAPGEF4,TRPM5	
2-ketoglutarate Dehydrogenase Complex	1.16E00	6E-01	NaN	DHTKD1,DLST,OGDH	
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	1.16E00	6E-01	NaN	GART,MTHFD1L,MTHFD2	
Serine Biosynthesis	1.16E00	6E-01	NaN	PHGDH,PSAT1,PSPH	
Citrulline-Nitric Oxide Cycle	1.16E00	6E-01	NaN	ASS1,NOS2,NOS3	
Glutamate Degradation III (via 4-aminobutyrate)	1.16E00	6E-01	NaN	ABAT,ALDH5A1,GAD2	
Folate Polyglutamylation	1.16E00	6E-01	NaN	FPGS,MTHFD1L,SHMT2	
Gustation Pathway	1.16E00	2.66E-01	NaN	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,GDE1,GDPD1,GNB1,GNG5,MPPE1,NAPEPLD,P2RX3,P2RX6,P2RY1,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE5A,PDE6D,PDE8A,PDE8B,PDE9A,PLCB2,PRKACB,PRKAR1B,SCNN1A,SCNN1G,SMPDL3A,SMPDL3B,TRPM5,TULP2	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	1.16E00	3.89E-01	1.134	INPP5D,INPP5J,INPP5K,ITPK1,ITPKA,ITPKB,ITPKC	
Circadian Rhythm Signaling	1.12E00	3.33E-01	NaN	ATF2,ATF4,CLOCK,CREB3,CREB3L3,CREB3L4,CRY1,CSNK1E,GRIN2D,GRINA,PER3	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	1.11E00	3.64E-01	0.378	AGPAT4,GPAM,LCLAT1,LPCAT4,MBOAT2,PGS1,PNPLA3,PTPMT1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.08E00	2.58E-01	NaN	AGT,BCL2,CCL5,CCR7,CD14,CD40,CERT1,COL15A1,COL18A1,COL27A1,COL4A3,COL6A3,COL7A1,COL9A1,COL9A3,CSF1,CXCR3,EDN1,EGF,FAS,FGF1,FGFR2,FLT4,ICAM1,IFNAR2,IFNGR2,IGFBP4,IL1RAP,IL4R,LHX2,MYH14,MYH7B,MYL9,NFKB2,PDGFA,PDGFC,PDGFRB,PGF,RELA,SERPINE1,STAT1,TGFB1,TGFBR1,TIMP2,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B	
Caveolar-mediated Endocytosis Signaling	1.08E00	2.88E-01	NaN	ACTB,ACTG1,ALB,B2M,COPA,COPE,DNM2,EGF,FLNB,FLOT2,HLA-A,HLA-E,INSR,ITGA2,ITGA4,ITGA5,ITGA7,ITGAM,ITGB7,RAB5C,ZBTB12	
Oxidative Ethanol Degradation III	1.04E00	3.68E-01	-1.890	ACSL1,ACSS1,ACSS3,ALDH1A1,ALDH3A2,Aldh3b2,ALDH4A1	
Hematopoiesis from Multipotent Stem Cells	1.04E00	4.17E-01	NaN	CSF1,CSF2,IL15,KITLG,THPO	
Glucose and Glucose-1-phosphate Degradation	1.04E00	4.17E-01	0.000	GCK,HK1,HK2,HKDC1,RGN	
NAD biosynthesis II (from tryptophan)	1.04E00	4.17E-01	-0.447	AFMID,IDO1,KMO,NMNAT1,NMNAT2	
Ethanol Degradation IV	1.01E00	3.48E-01	-2.121	ACSL1,ACSS1,ACSS3,ALDH1A1,ALDH3A2,Aldh3b2,ALDH4A1,CAT	
Folate Transformations I	9.79E-01	4.44E-01	2.000	MTHFD1L,MTHFD2,MTR,SHMT2	
Oncostatin M Signaling	9.55E-01	3.02E-01	1.508	JAK3,MAP2K1,MRAS,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,STAT1,STAT3,STAT5B,TIMP3	
Role of BRCA1 in DNA Damage Response	9.36E-01	2.75E-01	-0.905	ACTB,ARID2,ATM,BARD1,BRCA2,CDKN1A,E2F2,E2F4,FANCM,PBRM1,PLK1,POU2F1,RAD51,RBL2,RFC3,RFC5,SMARCA2,SMARCA4,SMARCD3,SMARCE1,STAT1,TOPBP1	
Arginine Biosynthesis IV	9.36E-01	5E-01	NaN	ASS1,OAT,OTC	
Adenine and Adenosine Salvage III	9.36E-01	5E-01	NaN	ADA,ADAT3,PNP	
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	9.36E-01	5E-01	NaN	AFMID,IDO1,KMO	
Ceramide Degradation	9.36E-01	5E-01	NaN	ACER1,ACER2,ASAH2	
Rapoport-Luebering Glycolytic Shunt	9.36E-01	5E-01	NaN	MINPP1,PGAM1,PGAM2	
GDP-mannose Biosynthesis	9.36E-01	5E-01	NaN	GMPPA,GMPPB,MPI	
1,25-dihydroxyvitamin D3 Biosynthesis	9.32E-01	6.67E-01	NaN	CYP27B1,CYP2R1	
Tetrahydrobiopterin Biosynthesis I	9.32E-01	6.67E-01	NaN	GCH1,PTS	
Geranylgeranyldiphosphate Biosynthesis	9.32E-01	6.67E-01	NaN	COX10,FNTB	
Oxidized GTP and dGTP Detoxification	9.32E-01	6.67E-01	NaN	DDX6,RUVBL2	
Tetrahydrobiopterin Biosynthesis II	9.32E-01	6.67E-01	NaN	GCH1,PTS	
Glutamate Degradation II	9.32E-01	6.67E-01	NaN	GOT1,GOT2	
S-adenosyl-L-methionine Biosynthesis	9.32E-01	6.67E-01	NaN	MAT1A,MAT2B	
4-aminobutyrate Degradation I	9.32E-01	6.67E-01	NaN	ABAT,ALDH5A1	
N-acetylglucosamine Degradation I	9.32E-01	6.67E-01	NaN	AMDHD2,GNPDA2	
Aspartate Biosynthesis	9.32E-01	6.67E-01	NaN	GOT1,GOT2	
Bladder Cancer Signaling	9.24E-01	2.68E-01	-0.302	CCND1,CDH1,CDKN1A,EGF,FGF1,FGF14,FGFR3,MAP2K1,MMP11,MMP15,MMP23B,MMP28,MMP7,MRAS,PA2G4,PDGFC,PGF,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RASSF1,RPS6KA5,SUV39H1	
Tumoricidal Function of Hepatic Natural Killer Cells	9.17E-01	3.33E-01	1.633	BID,CASP3,CASP7,CASP8,FAS,ICAM1,M6PR,SERPINB9	
Glutathione Redox Reactions I	9.17E-01	3.33E-01	-1.414	GPX2,GSR,GSTK1,GSTM1,GSTM2,Gstt1,MGST2,MGST3	
TCA Cycle II (Eukaryotic)	9.17E-01	3.33E-01	2.121	ACO2,CS,DHTKD1,DLST,IDH3B,OGDH,SDHB,SUCLG1	
Leukotriene Biosynthesis	9.07E-01	3.85E-01	-2.236	ALOX5,DPEP1,LTC4S,MGST2,MGST3	
GP6 Signaling Pathway	8.93E-01	2.61E-01	-1.257	AKT1,AKT2,AKT3,APBB1IP,CAMK4,CERT1,COL15A1,COL18A1,COL27A1,COL4A3,COL6A3,COL7A1,COL9A1,COL9A3,FGA,LAMA3,LAMB1,LAMB2,LAMC1,LAMC2,NOX1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,RAC1	
CCR5 Signaling in Macrophages	8.76E-01	2.66E-01	1.155	CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,CAMK4,CCL5,FAS,FOS,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,JUN,MAP2K4,MAPK11,MAPK13,MRAS,PLCG2,PRKD3,PTK2B	
Ubiquinol-10 Biosynthesis (Eukaryotic)	8.7E-01	3.53E-01	-1.633	BCKDHA,CYP11A1,CYP4A11,ECHDC1,MICAL1,MICAL2	
Granulocyte Adhesion and Diapedesis	8.7E-01	2.5E-01	NaN	Ccl2,CCL25,Ccl27a,CCL5,Ccl8,Ccl9,CLDN11,Cldn13,CLDN15,CLDN18,CLDN2,CLDN23,CLDN3,CLDN4,CLDN7,CLDN8,CX3CL1,CXCL10,Cxcl11,CXCL16,Cxcl9,EZR,GNAI1,GNAI2,HRH3,ICAM1,IL18,IL1RAP,ITGA2,ITGA4,ITGA5,ITGAM,JAM3,MMP11,MMP15,MMP23B,MMP28,MMP7,MSN,SDC1,SDC3,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B	
OX40 Signaling Pathway	8.66E-01	2.67E-01	0.333	B2M,BCL2,H2-K2/H2-Q9,H2-Q8,H2-T10,H2-T22,H2-T24,H2-T3,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,HLA-G,JUN,MAP2K4,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELA,TRAF2	
Autophagy	8.57E-01	2.79E-01	NaN	ATG10,ATG4D,BCL2,CTSB,CTSC,CTSF,CTSS,CTSZ,MAP1LC3B,MTOR,NBR1,PIK3C3,SQSTM1,ULK1,VPS39,VPS41,WIPI1	
VDR/RXR Activation	8.42E-01	2.69E-01	0.535	CCL5,CD14,CDKN1A,CDKN1B,CEBPB,CSF2,CXCL10,CYP27B1,HR,HSD17B2,LRP5,MXD1,NCOA2,NCOA3,NCOR1,PDGFA,PPARD,PRKD3,PSMC5,S100G,SEMA3B	
Calcium Transport I	8.36E-01	4E-01	0.000	ANXA5,ATP2A2,ATP2B1,ATP2C2	
Ketolysis	8.36E-01	4E-01	NaN	ACAA2,ACAT1,ACAT2,BDH2	
Superpathway of Cholesterol Biosynthesis	8.3E-01	3.1E-01	-0.707	ACAA2,ACAT1,ACAT2,CYP51A1,EBP,HMGCS2,IDI1,PMVK,TM7SF2	
Notch Signaling	8.27E-01	2.97E-01	1.667	DLL3,HES7,JAG1,JAG2,LFNG,MAML3,NOTCH3,NOTCH4,NUMB,NUMBL,PSEN1	
DNA Double-Strand Break Repair by Non-Homologous End Joining	7.93E-01	3.57E-01	NaN	ATM,DCLRE1C,LIG4,PRKDC,XRCC6	
Colanic Acid Building Blocks Biosynthesis	7.93E-01	3.57E-01	1.342	GALE,GMPPA,GMPPB,MPI,UGDH	
Valine Degradation I	7.75E-01	3.33E-01	-1.633	ABAT,ACADSB,ALDH6A1,BCKDHA,EHHADH,HIBADH	
Neuropathic Pain Signaling In Dorsal Horn Neurons	7.72E-01	2.57E-01	-3.138	CAMK1,CAMK1D,CAMK2B,CAMK4,FOS,GRIN2D,GRINA,GRM2,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PRKACB,PRKAR1B,PRKD3	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	7.64E-01	3.18E-01	0.378	AK1,CMPK2,NME2,NME7,PCK1,RRM1,RRM2	
NAD Salvage Pathway III	7.64E-01	4.29E-01	NaN	NMNAT1,NMNAT2,NMRK1	
Purine Ribonucleosides Degradation to Ribose-1-phosphate	7.64E-01	4.29E-01	NaN	ADA,ADAT3,PNP	
Glycogen Biosynthesis II (from UDP-D-Glucose)	7.64E-01	4.29E-01	NaN	EPM2A,GBE1,GYS1	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	7.62E-01	2.94E-01	2.449	B2M,BCL2,BID,CASP3,CASP7,CASP8,FAS,HLA-A,HLA-E,ZBTB12	
Role of JAK2 in Hormone-like Cytokine Signaling	7.62E-01	2.94E-01	NaN	GHR,IRS2,PRLR,PTPN11,SH2B2,SOCS1,SOCS3,STAT1,STAT3,STAT5B	
Estrogen-mediated S-phase Entry	7.59E-01	3.08E-01	2.121	CCNA1,CCND1,CCNE1,CDK1,CDKN1A,CDKN1B,E2F2,E2F4	
UVC-Induced MAPK Signaling	7.35E-01	2.75E-01	1.508	FOS,JUN,MAP2K1,MAP2K4,MAPK11,MAPK13,MRAS,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2	
